City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
1,Mahon,ES,82.4,39.89,4.27,overcast clouds,ARTIEM Capri
2,Bambous Virieux,MU,75.99,-20.34,57.76,scattered clouds,Casa Tia Villa
3,Albany,US,73.0,42.6,-73.97,few clouds,
6,Butaritari,KI,82.9,3.07,172.79,light rain,Isles Sunset Lodge
11,Manggar,ID,79.38,-2.88,108.27,light rain,Guest Hotel
14,San Andres,CO,82.4,12.58,-81.7,overcast clouds,Hotel Arena Blanca
15,Port Hedland,AU,71.6,-20.32,118.57,few clouds,The Esplanade Hotel
17,Ponta Delgada,PT,71.6,37.73,-25.67,scattered clouds,Vila Nova Hotel
20,Nouadhibou,MR,80.6,20.93,-17.03,clear sky,El Medina
21,Hilo,US,75.2,19.73,-155.09,overcast clouds,Hilo Hawaiian Hotel
22,Avarua,CK,73.4,-21.21,-159.78,overcast clouds,Paradise Inn
26,Marawi,PH,79.0,8.0,124.29,moderate rain,Derogongan Residence
27,Cabo San Lucas,MX,82.0,22.89,-109.91,overcast clouds,Hotel Tesoro Los Cabos
35,Cockburn Town,TC,82.69,21.46,-71.14,scattered clouds,Osprey Beach Hotel
37,Bagdarin,RU,71.67,54.43,113.6,light rain,Gostevoy Dom Terem
38,Chokwe,MZ,83.73,-24.53,32.98,clear sky,Complexo Sonho Real
40,Grand Gaube,MU,75.99,-20.01,57.66,scattered clouds,Veranda Paul et Virginie Hotel & Spa
41,Puerto Escondido,MX,79.25,15.85,-97.07,scattered clouds,Aldea del Bazar Hotel and Spa
45,Nanning,CN,89.6,22.82,108.32,light intensity shower rain,Nanning Travelling With Hostel
48,Ranau,MY,77.0,5.95,116.66,heavy intensity rain,Ranau Backpackers Hostel
51,Ambanja,MG,83.34,-13.68,48.45,clear sky,Hotel Marrakech
54,Poum,NC,70.57,-20.23,164.02,few clouds,Gîte kajeon
55,Saint-Philippe,RE,75.99,-21.36,55.77,scattered clouds,"Chambres d'hôte ""La Trinité"""
58,Palomares,MX,74.03,17.15,-95.07,broken clouds,Hotel Monarca
59,Vaini,TO,71.6,-21.2,-175.2,broken clouds,Keleti Beach Resort
60,Nieuw Amsterdam,SR,75.0,5.88,-55.08,broken clouds,Hotel Stardust
62,Panaba,MX,76.19,21.28,-88.27,broken clouds,Hotel Amor
65,Los Llanos De Aridane,ES,75.2,28.66,-17.92,few clouds,Valle Aridane
69,Miri,MY,80.6,4.41,114.01,scattered clouds,"Mega Hotel, Miri"
71,Hiriyur,IN,82.94,13.95,76.62,light rain,Farooq Tea Stall
74,Atuona,PF,79.29,-9.8,-139.03,light rain,Villa Enata
76,Jamestown,US,70.0,42.1,-79.24,clear sky,Hampton Inn & Suites Jamestown
77,Victoria,HK,87.01,22.29,114.16,overcast clouds,Mini Hotel Central
79,Bembereke,BJ,82.74,10.23,2.66,broken clouds,Hotel Bio Guera
81,Kapaa,US,78.8,22.08,-159.32,overcast clouds,Sheraton Kauai Resort at Coconut Beach
83,Yumen,CN,88.02,40.28,97.2,overcast clouds,
85,Karratha,AU,70.14,-20.74,116.85,clear sky,ibis Styles Karratha
87,Katherine,AU,80.6,-14.47,132.27,scattered clouds,Pine Tree Motel
88,Mount Isa,AU,75.2,-20.73,139.5,clear sky,ibis Styles Mt Isa Verona
89,Luanda,AO,78.8,-8.84,13.23,broken clouds,EPIC SANA Luanda
92,Ako,JP,75.0,34.75,134.4,light rain,Hatsune
95,Codajas,BR,73.85,-3.84,-62.06,scattered clouds,Hotel Tamires
96,Sisophon,KH,88.65,13.59,102.97,light rain,Pyramid Hotel
99,Evinayong,GQ,79.21,1.44,10.55,overcast clouds,
100,Georgetown,MY,86.0,5.41,100.34,few clouds,Cititel Penang
101,Luwuk,ID,77.7,-0.95,122.79,light rain,Hotel Santika Luwuk
105,Hithadhoo,MV,83.64,-0.6,73.08,moderate rain,Scoop Guest House
109,Shahganj,IN,78.8,26.05,82.68,thunderstorm with light rain,Sher-E-Panjab family restaurant and Dhaba
111,Broome,US,71.01,42.25,-75.83,clear sky,Chenango Valley State Park
112,Lae,PG,76.66,-6.72,146.98,light rain,Phils Hotel
113,Bengkulu,ID,80.98,-3.8,102.27,overcast clouds,Grage Hotel Bengkulu
115,Neijiang,CN,75.45,29.58,105.06,overcast clouds,Han'an Hotel
116,Zonguldak,TR,80.6,41.25,31.83,few clouds,Süleyman Tez Ev
117,Cabedelo,BR,75.2,-6.98,-34.83,few clouds,Lua Mansa Pousada
122,San Patricio,MX,79.3,19.22,-104.7,overcast clouds,Hotel Cabo Blanco
124,Oktyabrskoye,RU,75.2,43.06,44.74,broken clouds,Prolesok Mini-hotel
126,Amos,CA,71.01,48.57,-78.12,few clouds,"Amosphère, complexe hôtelier"
127,Jinchang,CN,87.93,38.5,102.17,overcast clouds,Mingshihui Jinchang International Hotel
128,Nizhnevartovsk,RU,71.6,60.93,76.55,scattered clouds,Gostinichnyy Kompleks Samotlor
129,Fare,PF,77.95,-16.7,-151.02,broken clouds,Maitai Lapita Village Huahine
131,Dangriga,BZ,82.0,16.97,-88.23,light rain,Chaleanor Hotel
137,Hasaki,JP,80.6,35.73,140.83,broken clouds,Inubosaki Kanko Hotel
141,Chadiza,ZM,80.29,-14.07,32.44,scattered clouds,Sankhani Lodge
148,Acapulco,MX,79.03,16.86,-99.89,broken clouds,HS Hotsson Smart Acapulco
150,Severnyy,RU,73.4,50.68,36.55,clear sky,Full House North Mini-Hotel
152,Jacareacanga,BR,71.04,-6.22,-57.75,few clouds,Casa do Ian😎
155,Dumai,ID,82.11,1.68,101.45,overcast clouds,Grand Zuri Dumai
158,Salalah,OM,86.0,17.02,54.09,broken clouds,HAMDAN PLAZA HOTEL
159,Pafos,CY,89.01,34.77,32.42,scattered clouds,Elysium Hotel
160,Souillac,MU,73.4,-20.52,57.52,scattered clouds,Bils' Villa
161,Itarema,BR,78.46,-2.92,-39.92,broken clouds,Windvillage
162,Demirci,TR,85.53,39.05,28.66,clear sky,Bilgin kız öğrenci evi
163,Wajima,JP,71.6,37.4,136.9,light intensity shower rain,Wajiima Onsen Yashio
164,Santa Cruz Del Norte,CU,75.2,23.15,-81.92,few clouds,Rioger Art
166,Tual,ID,79.54,-5.67,132.75,light rain,Grand Vilia Hotel
167,Manokwari,ID,81.41,-0.87,134.08,overcast clouds,Swiss Belhotel Manokwari
173,Nikolskoye,RU,70.0,59.7,30.79,broken clouds,Tourist House - Sablino
174,Gizo,SB,83.01,-8.1,156.84,light rain,Imagination Island
180,Kilosa,TZ,70.83,-6.83,36.98,light rain,Happy oil Petrol Steshen
181,Trairi,BR,75.97,-3.28,-39.27,light rain,Pousada Field Lilies - Trairi
182,Dingle,PH,80.64,11.0,122.67,moderate rain,Camp Pasica
183,Alihe,CN,77.47,50.57,123.72,clear sky,Alihe Forestry Hotel
186,Lata,PT,82.0,40.16,-8.33,clear sky,Casa Maquia
187,Sambava,MG,77.14,-14.27,50.17,clear sky,Melrose
188,Bathsheba,BB,80.6,13.22,-59.52,shower rain,Atlantis Hotel
189,Axim,GH,79.27,4.87,-2.24,light rain,AXIM BEACH RESORT AND SPA
195,Beloha,MG,83.7,-25.17,45.05,clear sky,
196,Kinango,KE,82.4,-4.14,39.32,scattered clouds,Moonlit Inn Kinango
197,Bintulu,MY,77.0,3.17,113.03,light rain,900 Boutique INN
198,La Asuncion,VE,78.8,11.03,-63.86,clear sky,Colinas de Matasiete
